,category,cohort_mean,community_1,community_2,community_3,community_4,text
T01,Technology,3.612,0.472,-0.081,-0.517,0.263,Artificial Intelligence will improve society more than it will create problems.
T02,Technology,4.035,0.34,0.277,-0.94,0.34,Generative AI tools should be allowed as learning aids in higher education.
T03,Technology,4.024,-0.357,0.133,0.262,-0.149,Students should disclose the use of AI in assignments and reports.
T04,Technology,4.224,-0.099,0.245,-0.414,0.401,Every engineering student should receive formal education in AI.
T05,Technology,4.2,0.133,0.019,-0.152,-0.075,Artificial Intelligence will significantly accelerate scientific discovery.
T06,Technology,4.235,0.181,0.046,-0.283,0.015,Most repetitive jobs will eventually be replaced by intelligent automation.
T07,Technology,4.212,0.163,-0.274,0.026,0.538,Robots should replace humans in hazardous occupations whenever possible.
T08,Technology,3.082,-0.166,0.449,-0.606,0.293,AI-assisted diagnosis should become routine in healthcare.
T09,Technology,3.259,0.158,-0.321,0.027,0.741,Autonomous vehicles will ultimately make transportation safer.
T10,Technology,4.188,-0.397,0.218,0.145,-0.063,Protection of personal data is more important than technological convenience.
T11,Technology,4.153,-0.236,0.097,0.133,-0.028,Technology companies should explain how recommendation algorithms work.
T12,Technology,4.071,-0.654,0.398,0.501,-0.946,Governments should introduce stricter regulations for Artificial Intelligence.
T13,Technology,4.024,-0.482,0.351,0.167,-0.399,Cybersecurity deserves greater investment than the development of new digital technologies.
T14,Technology,4.494,-0.202,0.193,-0.066,0.006,Social media algorithms contribute to opinion polarization.
T15,Technology,4.188,-0.022,0.187,-0.093,-0.438,Society will increasingly depend on AI-assisted decision making.
E01,Education,4.341,0.284,0.003,-0.341,0.034,Project-based learning develops deeper understanding than examination-oriented learning.
E02,Education,2.812,-0.187,0.188,0.093,-0.437,Traditional written examinations accurately measure a student's knowledge.
E03,Education,2.024,-0.232,0.289,-0.166,-0.024,Class attendance should be compulsory for all courses.
E04,Education,3.424,0.826,-0.955,0.196,0.826,High-quality online learning can effectively complement classroom teaching.
